timestamp,age,gender,education,device,eyecolour,colourblind,learntype,vistools,exp1,exp2,exp3,exp4,scenario1,scenario2,scenario3,scenario4,pie,donut,treemap,bar,stacked,funnel,angle1,angle2,arc1,arc2,area1,area2,comments,confidence
19/02/2018 19:53,24,Male,Honours Bachelor Degree,Mobile Phone,Blue,No,2,"Excel, Powerpoint, Python, R, Tableau",75,33,90,20,Option 2,Option 2,Option 2,Option 3,15,10,50,80,5,50,150,175,20,30,15,33,Xoxo,4
19/02/2018 20:09,24,Female,Honours Bachelor Degree,Mobile Phone,Blue,No,3,Excel,75,39.7,90,25,Option 1,Option 2,Option 2,Option 3,20,17,40,75,10,37,90,175,25,20,10,28,,3
19/02/2018 21:00,23,Female,Ordinary Bachelor Degree,Desktop/Laptop Computer,hazel,No,3,"Powerpoint, Adobe Illustrator",75,39.7,90,25,Option 2,Option 1,Option 1,Option 2,25,15,50,75,10,50,160,180,20,40,15,30,,3
19/02/2018 21:09,33,Female,Masters Degree,Mobile Phone,Blue,No,2,,75,39.7,90,25,Option 2,Option 2,Option 2,Option 3,20,10,35,80,5,40,125,170,20,25,20,25,,3
19/02/2018 21:14,24,Male,Honours Bachelor Degree,Desktop/Laptop Computer,Blue,No,3,"Excel, Powerpoint, MATLAB",75,39.7,90,25,Option 2,Option 2,Option 2,Option 3,15,10,50,75,5,50,135,175,15,20,10,20,,4
19/02/2018 21:46,36,Male,Masters Degree,Mobile Phone,Blue,No,1,Powerpoint,75,40,90,22,Option 2,Option 1,Option 2,Option 4,12.5,10,40,80,10,50,45,160,20,25,7.5,20,,3
19/02/2018 22:40,22,Female,Masters Degree,Mobile Phone,Blue,No,3,Python,75,39.7,90,25,Option 2,Option 2,Option 1,Option 3,15,10,45,80,5,50,120,170,20,25,15,30,This was a fun survey!,4
19/02/2018 22:58,23,Female,Honours Bachelor Degree,Mobile Phone,Blue,No,2,Powerpoint,75,39.7,90,25,Option 2,Option 2,Option 1,Option 1,18,17,40,76,11,35,132,178,20,37,20,31,Were the hints in the test round false? ,2
19/02/2018 23:02,23,Female,Masters Degree,Desktop/Laptop Computer,Blue,No,2,"Excel, Powerpoint, SPSS",75,40,90,25,Option 2,Option 2,Option 2,Option 3,17,15,45,75,5,50,150,165,20,25,15,40,brain = sore,4
19/02/2018 23:03,23,Female,Masters Degree,Mobile Phone,Blue,No,2,Excel,,,,,Option 2,Option 2,Option 2,Option 3,20,8,48,77,7,52,120,170,18,28,7,35,,4
19/02/2018 23:11,24,Male,Masters Degree,Desktop/Laptop Computer,Blue,No,3,"Excel, Powerpoint, Adobe Illustrator, Python, MATLAB, Power BI",75,,,,Option 2,Option 2,Option 1,Option 3,17,12,66,73,7,40,120,170,20,30,10,26,I am you,4
