"Population 2016 (Number) by Towns by Size, Sex, Age Group and Census"
"Year"

" "," "," ","2016"
"State"
" ","Both sexes"
" "," ","All ages",4761865
" "," ","0 - 4 years",331515
" "," ","5 - 12 years",548693
" "," ","13 - 18 years",371588
" "," ","19 - 24 years",331208
" "," ","25 - 34 years",659410
" "," ","35 - 44 years",746881
" "," ","45 - 54 years",626045
" "," ","55 - 64 years",508958
" "," ","65 - 74 years",373508
" "," ","75 years and over",264059

