timestamp,age,gender,education,device,eyecolour,colourblind,learntype,vistools,exp1,exp2,exp3,exp4,scenario1,scenario2,scenario3,scenario4,pie,donut,treemap,bar,stacked,funnel,angle1,angle2,arc1,arc2,area1,area2,comments,confidence
19/02/2018 19:57,25,Male,Masters Degree,Desktop/Laptop Computer,Brown,No,2,Powerpoint,75,40,90,25,Option 2,Option 2,Option 2,Option 4,48,4,36,50,39,40,110,95,12,47,18,43,Super fun,5
19/02/2018 20:08,23,Female,Honours Bachelor Degree,Mobile Phone,Blue,No,2,,75,40,90,25,Option 2,Option 2,Option 2,Option 1,44,5,20,48,40,37,100,95,12.5,40,20,40,,2
19/02/2018 20:18,24,Male,Masters Degree,Desktop/Laptop Computer,Brown,No,3,"Excel, Powerpoint, Python, MATLAB",75,39.7,90,25,Option 2,Option 2,Option 1,Option 3,40,10,60,45,35,40,87,40,8.333333333,45,20,45,Looking at some of the graphs gave me an aneurysm,4
19/02/2018 21:11,27,Male,Honours Bachelor Degree,Mobile Phone,Green,No,2,Powerpoint,75,40,90,25,Option 2,Option 2,Option 1,Option 1,47,5,60,52,40,50,100,92,9,48,16,38,,3
19/02/2018 21:14,27,Male,Honours Bachelor Degree,Mobile Phone,Brown,No,2,"Excel, Powerpoint, Python, R, D3, SAP Lumira, SAP Predictive Analytics",75,33,90,25,Option 2,Option 2,Option 1,Option 1,48,5,40,45,33,33,100,92,10,49,20,40,There were questions where I wasn't sure if I should answer in the persona or give the honest answer (i.e. some of the charts are tactfully deceptive),4
19/02/2018 21:14,24,Male,Masters Degree,Mobile Phone,Blue,No,3,"Excel, Powerpoint",75,39.7,90,25,Option 2,Option 1,Option 1,Option 3,45,5,60,50,40,45,110,100,15,45,20,40,,3
19/02/2018 21:31,24,Male,Masters Degree,Mobile Phone,Blue,No,3,"Excel, Powerpoint",75,40,90,25,Option 2,Option 2,Option 2,Option 3,45,5,45,50,30,50,105,95,10,55,25,40,Good survey. Hope you find good findings. ,4
19/02/2018 22:01,24,Female,Masters Degree,Desktop/Laptop Computer,Blue,No,3,Powerpoint,75,39.7,90,25,Option 2,Option 2,Option 2,Option 3,45,15,75,45,17,42,110,90,10,50,25,40,,2
19/02/2018 22:20,,Male,Masters Degree,Desktop/Laptop Computer,Brown,No,3,"Excel, AutoCAD",75,39.7,90,25,Option 2,Option 2,Option 2,Option 1,45,5,37.5,50,39,50,103.5,100,10,44,25,40,,3
19/02/2018 22:24,22,Female,Honours Bachelor Degree,Mobile Phone,Blue,No,3,"Excel, Powerpoint, Gaussian (computational chemistry), ChemDraw (similar)",75,39.7,90,25,Option 2,Option 2,Option 2,Option 1,47,8,65,50,45,40,120,100,13,50,20,40,,3
19/02/2018 22:39,24,Female,Masters Degree,Desktop/Laptop Computer,Grey,No,1,"Excel, Canva",75,39.7,90,25,Option 2,Option 2,Option 2,Option 4,40,5,40,50,35,40,100,95,15,50,25,30,Nice sense of humour throughout this! Very enjoyable! ,1
19/02/2018 22:51,23,Male,Honours Bachelor Degree,Mobile Phone,Blue,No,2,,75,33,90,20,Option 2,Option 2,Option 1,Option 1,45,10,40,50,35,40,120,100,10,45,25,37.5,,4
19/02/2018 23:00,24,Male,Masters Degree,Mobile Phone,Brown,No,1,"Excel, Powerpoint, MATLAB, Osisoft pi",75,39.7,90,25,Option 2,Option 2,Option 2,Option 3,47,5,45,45,40,40,110,100,15,45,15,35,,4
